year,network,station_dir,station_codes_from_header,file_count,first_file_date,last_file_date,first_start_utc,last_end_utc,sampling_rates_hz,channels,components,trace_ids,median_npts_per_trace,metadata_xml_count,read_error_count,read_errors
2014,1D,1D.4001,1D.4001,15,2014-07-19,2014-08-02,2014-07-19T19:54:35.000000Z,2014-08-02T19:57:39.996000Z,250,DPZ,Z,1D.4001..DPZ,21600001,1,0,
2014,1D,1D.4003,1D.4003,15,2014-07-19,2014-08-02,2014-07-19T20:16:18.000000Z,2014-08-02T19:05:08.996000Z,250,DPZ,Z,1D.4003..DPZ,21600001,1,0,
2014,1D,1D.4004,1D.4004,15,2014-07-19,2014-08-02,2014-07-19T20:19:37.000000Z,2014-08-02T18:42:15.996000Z,250,DPZ,Z,1D.4004..DPZ,21600001,1,0,
2014,1D,1D.4005,1D.4005,15,2014-07-19,2014-08-02,2014-07-19T20:46:33.000000Z,2014-08-02T18:34:15.996000Z,250,DPZ,Z,1D.4005..DPZ,21600001,1,0,
2014,1D,1D.4006,1D.4006,15,2014-07-19,2014-08-02,2014-07-19T20:44:38.000000Z,2014-08-02T22:19:24.996000Z,250,DPZ,Z,1D.4006..DPZ,21600001,1,0,
2014,1D,1D.4007,1D.4007,16,2014-07-19,2014-08-03,2014-07-19T20:57:08.000000Z,2014-08-03T03:26:39.996000Z,250,DPZ,Z,1D.4007..DPZ,21600001,1,0,
2014,1D,1D.4008,1D.4008,3,2014-07-19,2014-07-21,2014-07-19T20:57:31.000000Z,2014-07-21T23:58:32.996000Z,250,DPZ,Z,1D.4008..DPZ,21578250,1,0,
2014,1D,1D.4009,1D.4009,16,2014-07-19,2014-08-03,2014-07-19T21:22:08.000000Z,2014-08-03T10:55:13.996000Z,250,DPZ,Z,1D.4009..DPZ,21600001,1,0,
2014,1D,1D.4010,1D.4010,14,2014-07-22,2014-08-04,2014-07-22T00:21:27.000000Z,2014-08-04T18:22:05.996000Z,250,DPZ,Z,1D.4010..DPZ,21600001,1,0,
2014,1D,1D.4012,1D.4012,14,2014-07-22,2014-08-04,2014-07-22T17:47:05.000000Z,2014-08-04T14:15:11.996000Z,250,DPZ,Z,1D.4012..DPZ,21600001,1,0,
2014,1D,1D.4013,1D.4013,14,2014-07-22,2014-08-04,2014-07-22T18:02:33.000000Z,2014-08-04T17:16:35.996000Z,250,DPZ,Z,1D.4013..DPZ,21600001,1,0,
2014,1D,1D.4014,1D.4014,14,2014-07-22,2014-08-04,2014-07-22T18:01:55.000000Z,2014-08-04T16:58:29.996000Z,250,DPZ,Z,1D.4014..DPZ,21600001,1,0,
2014,1D,1D.4015,1D.4015,14,2014-07-22,2014-08-04,2014-07-22T18:12:06.000000Z,2014-08-04T17:04:18.996000Z,250,DPZ,Z,1D.4015..DPZ,21600001,1,0,
2014,1D,1D.4016,1D.4016,14,2014-07-22,2014-08-04,2014-07-22T18:24:36.000000Z,2014-08-04T17:29:54.996000Z,250,DPZ,Z,1D.4016..DPZ,21600001,1,0,
2014,1D,1D.4017,1D.4017,8,2014-07-22,2014-07-29,2014-07-22T18:24:37.000000Z,2014-07-29T23:02:20.996000Z,250,DPZ,Z,1D.4017..DPZ,21600001,1,0,
2014,1D,1D.4018,1D.4018,14,2014-07-22,2014-08-04,2014-07-22T18:37:06.000000Z,2014-08-04T19:40:18.996000Z,250,DPZ,Z,1D.4018..DPZ,21600001,1,0,
2014,1D,1D.4019,1D.4019,14,2014-07-22,2014-08-04,2014-07-22T18:42:22.000000Z,2014-08-04T19:32:28.996000Z,250,DPZ,Z,1D.4019..DPZ,21600001,1,0,
2014,1D,1D.4020,1D.4020,14,2014-07-22,2014-08-04,2014-07-22T18:49:38.000000Z,2014-08-04T19:22:16.996000Z,250,DPZ,Z,1D.4020..DPZ,21600001,1,0,
2014,1D,1D.4021,1D.4021,14,2014-07-22,2014-08-04,2014-07-22T19:02:06.000000Z,2014-08-04T19:17:16.996000Z,250,DPZ,Z,1D.4021..DPZ,21600001,1,0,
2014,1D,1D.4022,1D.4022,14,2014-07-22,2014-08-04,2014-07-22T19:04:23.000000Z,2014-08-04T19:15:11.996000Z,250,DPZ,Z,1D.4022..DPZ,21600001,1,0,
2014,1D,1D.4023,1D.4023,14,2014-07-22,2014-08-04,2014-07-22T19:14:38.000000Z,2014-08-04T18:59:14.996000Z,250,DPZ,Z,1D.4023..DPZ,21600001,1,0,
2014,1D,1D.4024,1D.4024,14,2014-07-22,2014-08-04,2014-07-22T19:27:07.000000Z,2014-08-04T18:49:53.996000Z,250,DPZ,Z,1D.4024..DPZ,21600001,1,0,
2014,1D,1D.4025,1D.4025,14,2014-07-22,2014-08-04,2014-07-22T19:27:08.000000Z,2014-08-04T18:41:10.996000Z,250,DPZ,Z,1D.4025..DPZ,21600001,1,0,
2014,1D,1D.4026,1D.4026,14,2014-07-22,2014-08-04,2014-07-22T19:39:37.000000Z,2014-08-04T18:36:11.996000Z,250,DPZ,Z,1D.4026..DPZ,21600001,1,0,
2014,1D,1D.4027,1D.4027,14,2014-07-22,2014-08-04,2014-07-22T19:41:48.000000Z,2014-08-04T18:25:16.996000Z,250,DPZ,Z,1D.4027..DPZ,21600001,1,0,
2014,1D,1D.4028,1D.4028,14,2014-07-22,2014-08-04,2014-07-22T19:52:07.000000Z,2014-08-04T18:44:19.996000Z,250,DPZ,Z,1D.4028..DPZ,21600001,1,0,
2014,1D,1D.4029,1D.4029,16,2014-07-19,2014-08-03,2014-07-19T22:01:27.000000Z,2014-08-03T22:42:38.996000Z,250,DPZ,Z,1D.4029..DPZ,21600001,1,0,
2014,1D,1D.4030,1D.4030,15,2014-07-19,2014-08-02,2014-07-19T21:59:36.000000Z,2014-08-02T19:25:28.996000Z,250,DPZ,Z,1D.4030..DPZ,21600001,1,0,
2014,1D,1D.4031,1D.4031,15,2014-07-19,2014-08-02,2014-07-19T21:47:41.000000Z,2014-08-02T19:35:23.996000Z,250,DPZ,Z,1D.4031..DPZ,21600001,1,0,
2014,1D,1D.4032,1D.4032,15,2014-07-19,2014-08-02,2014-07-19T21:47:06.000000Z,2014-08-02T19:43:32.996000Z,250,DPZ,Z,1D.4032..DPZ,21600001,1,0,
2014,1D,1D.4033,1D.4033,15,2014-07-19,2014-08-02,2014-07-19T21:34:37.000000Z,2014-08-02T19:52:53.996000Z,250,DPZ,Z,1D.4033..DPZ,21600001,1,0,
2014,1D,1D.4034,1D.4034,15,2014-07-19,2014-08-02,2014-07-19T21:22:05.000000Z,2014-08-02T20:02:11.996000Z,250,DPZ,Z,1D.4034..DPZ,21600001,1,0,
2014,1D,1D.4035,1D.4035,15,2014-07-19,2014-08-02,2014-07-19T21:11:17.000000Z,2014-08-02T20:08:51.996000Z,250,DPZ,Z,1D.4035..DPZ,21600001,1,0,
2014,1D,1D.4036,1D.4036,15,2014-07-19,2014-08-02,2014-07-19T21:09:36.000000Z,2014-08-02T20:20:16.996000Z,250,DPZ,Z,1D.4036..DPZ,21600001,1,0,
2014,1D,1D.4037,1D.4037,15,2014-07-19,2014-08-02,2014-07-19T21:29:09.000000Z,2014-08-02T20:22:21.996000Z,250,DPZ,Z,1D.4037..DPZ,21600001,1,0,
2014,1D,1D.4038,1D.4038,15,2014-07-19,2014-08-02,2014-07-19T20:21:32.000000Z,2014-08-02T20:33:20.996000Z,250,DPZ,Z,1D.4038..DPZ,21600001,1,0,
2014,1D,1D.4039,1D.4039,15,2014-07-19,2014-08-02,2014-07-19T20:08:09.000000Z,2014-08-02T20:33:03.996000Z,250,DPZ,Z,1D.4039..DPZ,21600001,1,0,
2014,1D,1D.4040,1D.4040,15,2014-07-19,2014-08-02,2014-07-19T20:07:06.000000Z,2014-08-02T20:45:06.996000Z,250,DPZ,Z,1D.4040..DPZ,21600001,1,0,
2014,1D,1D.4041,1D.4041,15,2014-07-19,2014-08-02,2014-07-19T19:54:36.000000Z,2014-08-02T20:50:04.996000Z,250,DPZ,Z,1D.4041..DPZ,21600001,1,0,
2014,1D,1D.4042,1D.4042,15,2014-07-19,2014-08-02,2014-07-19T19:42:07.000000Z,2014-08-02T20:55:03.996000Z,250,DPZ,Z,1D.4042..DPZ,21600001,1,0,
2014,1D,1D.4043,1D.4043,15,2014-07-19,2014-08-02,2014-07-19T19:31:30.000000Z,2014-08-02T21:01:54.996000Z,250,DPZ,Z,1D.4043..DPZ,21600001,1,0,
2014,1D,1D.4044,1D.4044,15,2014-07-19,2014-08-02,2014-07-19T23:39:36.000000Z,2014-08-02T19:59:58.996000Z,250,DPZ,Z,1D.4044..DPZ,21600001,1,0,
2014,1D,1D.4045,1D.4045,15,2014-07-19,2014-08-02,2014-07-19T23:52:08.000000Z,2014-08-02T19:55:02.996000Z,250,DPZ,Z,1D.4045..DPZ,21600001,1,0,
