source,receiver,distance_km,original_path,cleaned_path,scale
1D.4529,1D.4528,0.344828,/mnt/data_hdd/MSH_ANT/stack/2014/1D_WANG_PWS_150s_20260620/STACK/1D.4528/1D.4529/stack_pws.h5,/mnt/data_hdd/MSH_ANT/parameter_tests/1d_moveout_before_after_spike_removal_20260625_fixed/stack_cleaned_subset/1D.4528/1D.4529/stack_pws.h5,-0.007415
1D.4529,1D.4527,0.805096,/mnt/data_hdd/MSH_ANT/stack/2014/1D_WANG_PWS_150s_20260620/STACK/1D.4527/1D.4529/stack_pws.h5,/mnt/data_hdd/MSH_ANT/parameter_tests/1d_moveout_before_after_spike_removal_20260625_fixed/stack_cleaned_subset/1D.4527/1D.4529/stack_pws.h5,0.000635
1D.4529,1D.4526,1.153333,/mnt/data_hdd/MSH_ANT/stack/2014/1D_WANG_PWS_150s_20260620/STACK/1D.4526/1D.4529/stack_pws.h5,/mnt/data_hdd/MSH_ANT/parameter_tests/1d_moveout_before_after_spike_removal_20260625_fixed/stack_cleaned_subset/1D.4526/1D.4529/stack_pws.h5,0.000481
1D.4529,1D.4525,1.521058,/mnt/data_hdd/MSH_ANT/stack/2014/1D_WANG_PWS_150s_20260620/STACK/1D.4525/1D.4529/stack_pws.h5,/mnt/data_hdd/MSH_ANT/parameter_tests/1d_moveout_before_after_spike_removal_20260625_fixed/stack_cleaned_subset/1D.4525/1D.4529/stack_pws.h5,0.008554
1D.4529,1D.4524,1.929399,/mnt/data_hdd/MSH_ANT/stack/2014/1D_WANG_PWS_150s_20260620/STACK/1D.4524/1D.4529/stack_pws.h5,/mnt/data_hdd/MSH_ANT/parameter_tests/1d_moveout_before_after_spike_removal_20260625_fixed/stack_cleaned_subset/1D.4524/1D.4529/stack_pws.h5,-0.003378
1D.4529,1D.4523,2.212634,/mnt/data_hdd/MSH_ANT/stack/2014/1D_WANG_PWS_150s_20260620/STACK/1D.4523/1D.4529/stack_pws.h5,/mnt/data_hdd/MSH_ANT/parameter_tests/1d_moveout_before_after_spike_removal_20260625_fixed/stack_cleaned_subset/1D.4523/1D.4529/stack_pws.h5,0.003101
1D.4529,1D.4522,2.519874,/mnt/data_hdd/MSH_ANT/stack/2014/1D_WANG_PWS_150s_20260620/STACK/1D.4522/1D.4529/stack_pws.h5,/mnt/data_hdd/MSH_ANT/parameter_tests/1d_moveout_before_after_spike_removal_20260625_fixed/stack_cleaned_subset/1D.4522/1D.4529/stack_pws.h5,0.003265
1D.4529,1D.4521,2.840701,/mnt/data_hdd/MSH_ANT/stack/2014/1D_WANG_PWS_150s_20260620/STACK/1D.4521/1D.4529/stack_pws.h5,/mnt/data_hdd/MSH_ANT/parameter_tests/1d_moveout_before_after_spike_removal_20260625_fixed/stack_cleaned_subset/1D.4521/1D.4529/stack_pws.h5,0.001695
1D.4529,1D.4520,3.157988,/mnt/data_hdd/MSH_ANT/stack/2014/1D_WANG_PWS_150s_20260620/STACK/1D.4520/1D.4529/stack_pws.h5,/mnt/data_hdd/MSH_ANT/parameter_tests/1d_moveout_before_after_spike_removal_20260625_fixed/stack_cleaned_subset/1D.4520/1D.4529/stack_pws.h5,-0.002927
1D.4529,1D.4411,3.586632,/mnt/data_hdd/MSH_ANT/stack/2014/1D_WANG_PWS_150s_20260620/STACK/1D.4411/1D.4529/stack_pws.h5,/mnt/data_hdd/MSH_ANT/parameter_tests/1d_moveout_before_after_spike_removal_20260625_fixed/stack_cleaned_subset/1D.4411/1D.4529/stack_pws.h5,-0.005292
1D.4529,1D.4412,3.855357,/mnt/data_hdd/MSH_ANT/stack/2014/1D_WANG_PWS_150s_20260620/STACK/1D.4412/1D.4529/stack_pws.h5,/mnt/data_hdd/MSH_ANT/parameter_tests/1d_moveout_before_after_spike_removal_20260625_fixed/stack_cleaned_subset/1D.4412/1D.4529/stack_pws.h5,-0.001465
1D.4529,1D.4410,4.208859,/mnt/data_hdd/MSH_ANT/stack/2014/1D_WANG_PWS_150s_20260620/STACK/1D.4410/1D.4529/stack_pws.h5,/mnt/data_hdd/MSH_ANT/parameter_tests/1d_moveout_before_after_spike_removal_20260625_fixed/stack_cleaned_subset/1D.4410/1D.4529/stack_pws.h5,-0.001032
1D.4529,1D.4414,4.216759,/mnt/data_hdd/MSH_ANT/stack/2014/1D_WANG_PWS_150s_20260620/STACK/1D.4414/1D.4529/stack_pws.h5,/mnt/data_hdd/MSH_ANT/parameter_tests/1d_moveout_before_after_spike_removal_20260625_fixed/stack_cleaned_subset/1D.4414/1D.4529/stack_pws.h5,0.001350
1D.4529,1D.4409,4.408515,/mnt/data_hdd/MSH_ANT/stack/2014/1D_WANG_PWS_150s_20260620/STACK/1D.4409/1D.4529/stack_pws.h5,/mnt/data_hdd/MSH_ANT/parameter_tests/1d_moveout_before_after_spike_removal_20260625_fixed/stack_cleaned_subset/1D.4409/1D.4529/stack_pws.h5,0.001292
1D.4529,1D.4415,4.460698,/mnt/data_hdd/MSH_ANT/stack/2014/1D_WANG_PWS_150s_20260620/STACK/1D.4415/1D.4529/stack_pws.h5,/mnt/data_hdd/MSH_ANT/parameter_tests/1d_moveout_before_after_spike_removal_20260625_fixed/stack_cleaned_subset/1D.4415/1D.4529/stack_pws.h5,0.001171
