rank,pair,difference_score,filename
1,1D.4388__1D.4946,0.35448493,01_1D.4388__1D.4946.png
2,1D.4516__1D.4710,0.32419182,02_1D.4516__1D.4710.png
3,1D.4212__1D.4765,0.31404020,03_1D.4212__1D.4765.png
4,1D.4390__1D.4982,0.31122704,04_1D.4390__1D.4982.png
5,1D.4337__1D.4700,0.30738624,05_1D.4337__1D.4700.png
6,1D.4774__1D.4952,0.28119105,06_1D.4774__1D.4952.png
7,1D.4433__1D.4998,0.27997869,07_1D.4433__1D.4998.png
8,1D.4403__1D.4625,0.27665441,08_1D.4403__1D.4625.png
9,1D.4026__1D.4987,0.27043506,09_1D.4026__1D.4987.png
10,1D.4367__1D.4992,0.25906515,10_1D.4367__1D.4992.png
11,1D.4128__1D.4794,0.25491712,11_1D.4128__1D.4794.png
12,1D.4821__1D.4928,0.25433919,12_1D.4821__1D.4928.png
13,1D.4331__1D.4623,0.25307997,13_1D.4331__1D.4623.png
14,1D.4316__1D.4772,0.24118032,14_1D.4316__1D.4772.png
15,1D.4122__1D.4927,0.24104264,15_1D.4122__1D.4927.png
16,1D.4565__1D.4975,0.23751079,16_1D.4565__1D.4975.png
