cell_index,lon_min,lon_max,lat_min,lat_max,ray_count,phase_velocity_km_s
0,-122.34,-122.33,46.08,46.089999999999996,0.0,2.728919105099192
1,-122.33,-122.32,46.08,46.089999999999996,0.0,2.728102626717391
2,-122.32,-122.30999999999999,46.08,46.089999999999996,0.0,2.7266380050316408
3,-122.30999999999999,-122.29999999999998,46.08,46.089999999999996,0.0,2.7248808403742086
4,-122.29999999999998,-122.28999999999998,46.08,46.089999999999996,0.0,2.723523157066627
5,-122.28999999999998,-122.27999999999997,46.08,46.089999999999996,0.0,2.7238105984650094
6,-122.27999999999997,-122.26999999999997,46.08,46.089999999999996,0.0,2.727768499644813
7,-122.26999999999997,-122.25999999999996,46.08,46.089999999999996,0.0,2.738292666058659
8,-122.25999999999996,-122.24999999999996,46.08,46.089999999999996,0.0,2.7586160515270834
9,-122.24999999999996,-122.23999999999995,46.08,46.089999999999996,0.0,2.790673904213426
10,-122.23999999999995,-122.22999999999995,46.08,46.089999999999996,0.0,2.8334526148090244
11,-122.22999999999995,-122.21999999999994,46.08,46.089999999999996,0.0,2.8818188586807505
12,-122.21999999999994,-122.20999999999994,46.08,46.089999999999996,0.0,2.926153695864581
13,-122.20999999999994,-122.19999999999993,46.08,46.089999999999996,0.0,2.9522963858372937
14,-122.19999999999993,-122.18999999999993,46.08,46.089999999999996,0.0,2.9521582109920335
15,-122.18999999999993,-122.17999999999992,46.08,46.089999999999996,0.0,2.9294159647050537
16,-122.17999999999992,-122.16999999999992,46.08,46.089999999999996,0.0,2.894736810235946
17,-122.16999999999992,-122.15999999999991,46.08,46.089999999999996,0.0,2.8566858762777563
18,-122.15999999999991,-122.1499999999999,46.08,46.089999999999996,0.0,2.8206045708290555
19,-122.1499999999999,-122.1399999999999,46.08,46.089999999999996,0.0,2.7893188499919295
20,-122.1399999999999,-122.1299999999999,46.08,46.089999999999996,0.0,2.7640974186774243
21,-122.1299999999999,-122.11999999999989,46.08,46.089999999999996,0.0,2.745362153318331
22,-122.11999999999989,-122.10999999999989,46.08,46.089999999999996,0.0,2.7330864807999946
23,-122.10999999999989,-122.09999999999988,46.08,46.089999999999996,0.0,2.7267754563731224
24,-122.09999999999988,-122.08999999999988,46.08,46.089999999999996,0.0,2.725535155084874
25,-122.08999999999988,-122.07999999999987,46.08,46.089999999999996,0.0,2.728161128443568
26,-122.07999999999987,-122.06999999999987,46.08,46.089999999999996,0.0,2.7331881104373124
27,-122.06999999999987,-122.05999999999986,46.08,46.089999999999996,0.0,2.738991154528125
28,-122.05999999999986,-122.04999999999986,46.08,46.089999999999996,0.0,2.7439744918146705
29,-122.04999999999986,-122.03999999999985,46.08,46.089999999999996,0.0,2.746841971709687
30,-122.34,-122.33,46.089999999999996,46.099999999999994,0.0,2.725145607031184
31,-122.33,-122.32,46.089999999999996,46.099999999999994,0.0,2.724113384629841
32,-122.32,-122.30999999999999,46.089999999999996,46.099999999999994,0.0,2.7221934142410897
33,-122.30999999999999,-122.29999999999998,46.089999999999996,46.099999999999994,0.0,2.7196324680088653
34,-122.29999999999998,-122.28999999999998,46.089999999999996,46.099999999999994,0.0,2.716946621725623
35,-122.28999999999998,-122.27999999999997,46.089999999999996,46.099999999999994,0.0,2.7152391346085807
36,-122.27999999999997,-122.26999999999997,46.089999999999996,46.099999999999994,0.0,2.7166310786823176
37,-122.26999999999997,-122.25999999999996,46.089999999999996,46.099999999999994,0.0,2.7248055210195234
38,-122.25999999999996,-122.24999999999996,46.089999999999996,46.099999999999994,0.0,2.744915388119345
39,-122.24999999999996,-122.23999999999995,46.089999999999996,46.099999999999994,0.0,2.7807044351157493
40,-122.23999999999995,-122.22999999999995,46.089999999999996,46.099999999999994,0.0,2.832122884588625
41,-122.22999999999995,-122.21999999999994,46.089999999999996,46.099999999999994,0.0,2.8937710671665404
42,-122.21999999999994,-122.20999999999994,46.089999999999996,46.099999999999994,158.0,2.9553185303333294
43,-122.20999999999994,-122.19999999999993,46.089999999999996,46.099999999999994,223.0,2.9911332969693416
44,-122.19999999999993,-122.18999999999993,46.089999999999996,46.099999999999994,35.0,2.987161141256733
45,-122.18999999999993,-122.17999999999992,46.089999999999996,46.099999999999994,3.0,2.95213463405857
46,-122.17999999999992,-122.16999999999992,46.089999999999996,46.099999999999994,3.0,2.906407579401592
47,-122.16999999999992,-122.15999999999991,46.089999999999996,46.099999999999994,0.0,2.8601601648573136
48,-122.15999999999991,-122.1499999999999,46.089999999999996,46.099999999999994,0.0,2.818453636433332
49,-122.1499999999999,-122.1399999999999,46.089999999999996,46.099999999999994,0.0,2.783436992717233
50,-122.1399999999999,-122.1299999999999,46.089999999999996,46.099999999999994,0.0,2.755819845144517
51,-122.1299999999999,-122.11999999999989,46.089999999999996,46.099999999999994,0.0,2.735655576833023
52,-122.11999999999989,-122.10999999999989,46.089999999999996,46.099999999999994,0.0,2.722926636947806
53,-122.10999999999989,-122.09999999999988,46.089999999999996,46.099999999999994,0.0,2.717022074718456
54,-122.09999999999988,-122.08999999999988,46.089999999999996,46.099999999999994,0.0,2.7168883544511284
55,-122.08999999999988,-122.07999999999987,46.089999999999996,46.099999999999994,0.0,2.7211494723458562
56,-122.07999999999987,-122.06999999999987,46.089999999999996,46.099999999999994,0.0,2.7281464401216873
57,-122.06999999999987,-122.05999999999986,46.089999999999996,46.099999999999994,0.0,2.7359391526987933
58,-122.05999999999986,-122.04999999999986,46.089999999999996,46.099999999999994,0.0,2.74254247920317
