station_code,longitude,latitude
1D.4001,-122.18949900000001,46.166599
1D.4003,-122.183998,46.1665
1D.4004,-122.182297,46.1646
1D.4005,-122.182198,46.162701
1D.4006,-122.180397,46.1609
1D.4007,-122.178101,46.159698
1D.4008,-122.175903,46.158901
1D.4009,-122.173203,46.1586
1D.4010,-122.170502,46.157501
1D.4012,-122.1642,46.157501
1D.4013,-122.16229999999999,46.1567
1D.4014,-122.16139999999999,46.155102
1D.4015,-122.15830199999999,46.153702
1D.4016,-122.154404,46.1549
1D.4017,-122.15280200000001,46.1567
1D.4018,-122.151497,46.158798
1D.4019,-122.149498,46.161499
1D.4020,-122.147697,46.163799
1D.4021,-122.147797,46.165501
1D.4022,-122.145599,46.1665
1D.4023,-122.14409599999999,46.167702
1D.4024,-122.145599,46.1698
1D.4025,-122.147797,46.171101
1D.4026,-122.149101,46.1721
1D.4027,-122.14859799999999,46.173401
1D.4028,-122.14800299999999,46.1749
1D.4029,-122.147797,46.176102
1D.4030,-122.14610300000001,46.177601
1D.4031,-122.147202,46.179298
1D.4032,-122.1464,46.181801
1D.4033,-122.14749900000001,46.183601
1D.4034,-122.14790300000001,46.1852
1D.4035,-122.14669799999999,46.186699
1D.4036,-122.1465,46.188301
1D.4037,-122.146301,46.189499
1D.4038,-122.14499699999999,46.190399
1D.4039,-122.14350099999999,46.191002
1D.4040,-122.14250200000001,46.192001
1D.4041,-122.14009899999999,46.192501
1D.4042,-122.13719900000001,46.192799
1D.4043,-122.1353,46.194199
1D.4044,-122.1362,46.195599
1D.4045,-122.139198,46.196701
1D.4046,-122.13909899999999,46.198002
1D.4047,-122.138496,46.199799
1D.4048,-122.13580300000001,46.200199
1D.4049,-122.135696,46.2019
1D.4050,-122.136597,46.203499
1D.4051,-122.13690199999999,46.205502
1D.4052,-122.13670300000001,46.207802
1D.4053,-122.138,46.2099
1D.4054,-122.138702,46.211601
1D.4055,-122.139297,46.212898
1D.4056,-122.141899,46.212799
1D.4057,-122.14409599999999,46.212799
1D.4058,-122.14679699999999,46.212799
1D.4060,-122.150803,46.2146
1D.4061,-122.153603,46.216202
1D.4062,-122.15339700000001,46.217999
1D.4063,-122.1549,46.219601
1D.4064,-122.15599800000001,46.220699
1D.4065,-122.1576,46.223
1D.4067,-122.16000399999999,46.2257
1D.4068,-122.16050000000001,46.226398
1D.4069,-122.160797,46.227299
1D.4070,-122.15959899999999,46.227901
1D.4071,-122.159302,46.228901
1D.4072,-122.161697,46.227699
1D.4073,-122.162804,46.227501
1D.4075,-122.16750300000001,46.228401
1D.4076,-122.16980000000001,46.228001
1D.4077,-122.172203,46.228298
1D.4078,-122.174004,46.229401
1D.4080,-122.178101,46.232899
1D.4081,-122.17790199999999,46.234501
1D.4082,-122.17780300000001,46.236099
1D.4083,-122.17700199999999,46.237301
1D.4084,-122.176399,46.238701
1D.4086,-122.175003,46.238998
1D.4093,-122.20200299999999,46.237999
1D.4094,-122.20500200000001,46.238098
1D.4095,-122.208,46.237202
1D.4096,-122.21099899999999,46.2369
1D.4097,-122.21230299999999,46.234901
1D.4098,-122.213303,46.2327
1D.4100,-122.21890300000001,46.230999
1D.4101,-122.22219799999999,46.231602
1D.4102,-122.223297,46.229599
1D.4103,-122.224197,46.228001
1D.4104,-122.22399899999999,46.2258
1D.4105,-122.22339600000001,46.223598
1D.4106,-122.22709699999999,46.223701
1D.4107,-122.23049900000001,46.222698
1D.4108,-122.232697,46.2216
1D.4109,-122.23490100000001,46.219799
1D.4110,-122.235802,46.217999
1D.4111,-122.23670200000001,46.215698
1D.4112,-122.2407,46.214802
1D.4115,-122.252197,46.210201
1D.4116,-122.25209799999999,46.209202
1D.4117,-122.24900099999999,46.207802
1D.4118,-122.24629999999999,46.206799
1D.4119,-122.243301,46.206799
1D.4120,-122.24130199999999,46.205799
1D.4121,-122.239601,46.2062
1D.4122,-122.237198,46.205399
1D.4123,-122.23500100000001,46.205002
1D.4124,-122.233398,46.2043
1D.4125,-122.23419999999999,46.2029
1D.4126,-122.23500100000001,46.201099
1D.4127,-122.234299,46.1992
1D.4128,-122.237,46.197498
1D.4129,-122.237,46.1959
1D.4130,-122.23760200000001,46.194302
1D.4131,-122.23670200000001,46.192101
1D.4132,-122.234299,46.190201
1D.4133,-122.23069799999999,46.1903
1D.4134,-122.23000300000001,46.187801
1D.4135,-122.227303,46.186199
1D.4136,-122.223701,46.184799
1D.4137,-122.223198,46.182499
1D.4138,-122.222702,46.180302
1D.4139,-122.220901,46.178398
1D.4140,-122.219101,46.176102
1D.4141,-122.217499,46.175499
1D.4150,-122.19760099999999,46.165401
1D.4151,-122.196098,46.1633
1D.4152,-122.192902,46.163399
1D.4154,-122.19139899999999,46.162102
1D.4155,-122.19229899999999,46.159801
1D.4156,-122.192902,46.157398
1D.4157,-122.18959799999999,46.156399
1D.4158,-122.1866,46.155399
1D.4159,-122.18540200000001,46.153301
1D.4160,-122.18499800000001,46.151402
1D.4161,-122.1856,46.149799
1D.4162,-122.18550099999999,46.148399
1D.4163,-122.184303,46.1469
1D.4169,-122.18609599999999,46.142799
1D.4170,-122.18949900000001,46.143799
1D.4171,-122.191902,46.145302
1D.4172,-122.19300100000001,46.147301
1D.4173,-122.19539599999999,46.145302
1D.4174,-122.19760099999999,46.144299
1D.4175,-122.200897,46.1436
1D.4176,-122.20429999999999,46.143398
1D.4177,-122.20659599999999,46.1413
1D.4178,-122.20919799999999,46.1404
1D.4179,-122.2099,46.1394
1D.4180,-122.212502,46.1385
1D.4181,-122.21369899999999,46.1367
1D.4182,-122.20700099999999,46.139999
1D.4183,-122.203903,46.1399
1D.4184,-122.20069899999999,46.139801
1D.4185,-122.19830300000001,46.1395
1D.4186,-122.1959,46.139801
1D.4187,-122.195,46.139198
1D.4188,-122.194199,46.138
1D.4189,-122.19309999999999,46.137901
1D.4190,-122.191498,46.137798
1D.4191,-122.190201,46.1376
1D.4192,-122.189201,46.1366
1D.4193,-122.19090299999999,46.136398
1D.4194,-122.19129899999999,46.135899
1D.4195,-122.19170399999999,46.135101
1D.4200,-122.19580099999999,46.1385
1D.4201,-122.19580099999999,46.1376
1D.4202,-122.19560200000001,46.136799
1D.4203,-122.19580099999999,46.1357
1D.4204,-122.1959,46.1348
1D.4205,-122.19229899999999,46.1339
1D.4206,-122.191902,46.134602
1D.4207,-122.196899,46.138802
1D.4208,-122.196503,46.133999
1D.4209,-122.196999,46.131599
1D.4210,-122.19619800000001,46.129799
1D.4211,-122.193398,46.129299
1D.4212,-122.19120000000001,46.1278
1D.4213,-122.18450200000001,46.1278
1D.4214,-122.183899,46.129101
1D.4215,-122.18150299999999,46.130199
1D.4216,-122.17839799999999,46.130299
1D.4217,-122.174103,46.129101
1D.4218,-122.16940299999999,46.131199
1D.4219,-122.219597,46.174599
1D.4220,-122.22219799999999,46.172901
1D.4221,-122.223297,46.171001
1D.4222,-122.227303,46.171501
1D.4223,-122.22789800000001,46.168701
1D.4224,-122.22799699999999,46.166698
1D.4225,-122.23059799999999,46.165401
1D.4226,-122.22969800000001,46.162601
1D.4227,-122.22740200000001,46.161999
1D.4228,-122.22740200000001,46.160702
1D.4229,-122.230301,46.158298
1D.4230,-122.232201,46.156502
1D.4231,-122.233002,46.154999
1D.4232,-122.233498,46.153099
1D.4233,-122.233902,46.152
1D.4234,-122.23410000000001,46.1507
1D.4235,-122.235703,46.150002
1D.4236,-122.236198,46.148499
1D.4237,-122.23599999999999,46.146599
1D.4238,-122.23500100000001,46.1441
1D.4239,-122.23670200000001,46.150501
1D.4240,-122.23950199999999,46.1506
1D.4241,-122.241997,46.152199
1D.4242,-122.242798,46.154099
1D.4243,-122.24449899999999,46.1558
1D.4244,-122.24629999999999,46.158199
1D.4245,-122.24800099999999,46.1605
1D.4246,-122.24890099999999,46.161499
1D.4247,-122.250504,46.163898
1D.4248,-122.25150300000001,46.164902
1D.4249,-122.25250199999999,46.165699
1D.4250,-122.25370000000001,46.1665
1D.4251,-122.25389899999999,46.1674
1D.4252,-122.255402,46.165699
1D.4253,-122.254997,46.167301
1D.4254,-122.255898,46.1675
1D.4255,-122.256798,46.167599
1D.4256,-122.257599,46.1679
1D.4257,-122.256104,46.168098
1D.4258,-122.255302,46.1684
1D.4259,-122.25550100000001,46.1689
1D.4260,-122.256203,46.167099
1D.4261,-122.256104,46.1665
1D.4262,-122.256203,46.166
1D.4263,-122.25649999999999,46.165501
1D.4264,-122.255302,46.165901
1D.4265,-122.255898,46.165298
1D.4266,-122.25330400000001,46.167599
1D.4267,-122.25280000000001,46.168098
1D.4268,-122.25209799999999,46.1684
1D.4269,-122.25470000000001,46.169399
1D.4270,-122.25119799999999,46.1688
1D.4271,-122.258003,46.168098
1D.4272,-122.257004,46.164799
1D.4273,-122.259003,46.168499
1D.4274,-122.120499,46.142101
1D.4275,-122.122803,46.1446
1D.4276,-122.12750199999999,46.145901
1D.4277,-122.13149999999999,46.144901
1D.4278,-122.1353,46.1441
1D.4279,-122.138802,46.143299
1D.4280,-122.14260100000001,46.142101
1D.4281,-122.1437,46.139801
1D.4282,-122.145103,46.144199
1D.4283,-122.14430200000001,46.146301
1D.4284,-122.14620199999999,46.1469
1D.4285,-122.14679699999999,46.148998
1D.4286,-122.14939899999999,46.149601
1D.4287,-122.151398,46.149101
1D.4288,-122.153503,46.148102
1D.4289,-122.1567,46.147999
1D.4290,-122.154404,46.150101
1D.4291,-122.15199999999999,46.152199
1D.4292,-122.150597,46.153801
1D.4293,-122.149002,46.155899
1D.4294,-122.14620199999999,46.157398
1D.4295,-122.14359999999999,46.157101
1D.4296,-122.140701,46.1562
1D.4297,-122.14579800000001,46.151001
1D.4298,-122.142303,46.1516
1D.4299,-122.138702,46.151299
1D.4300,-122.13719900000001,46.150299
1D.4301,-122.135696,46.149502
1D.4302,-122.1343,46.1492
1D.4303,-122.13330099999999,46.149101
1D.4304,-122.1325,46.1488
1D.4305,-122.13189700000001,46.148102
1D.4306,-122.13140100000001,46.1474
